,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond
302,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
303,None,TA,TA,No,ALQ,Unf,SBrkr,,Attchd,Unf,TA,TA
304,None,TA,TA,No,Unf,Unf,SBrkr,Ex,Attchd,Unf,TA,TA
305,Stone,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
306,BrkFace,Gd,TA,No,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
307,None,TA,TA,No,Unf,Unf,FuseA,,,,,
308,None,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
309,None,Ex,TA,Gd,GLQ,Unf,SBrkr,Ex,Attchd,Fin,TA,TA
310,BrkFace,Gd,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
311,None,TA,TA,No,ALQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
312,None,Gd,TA,Mn,Rec,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
313,None,Gd,TA,Gd,ALQ,Rec,SBrkr,Gd,Attchd,RFn,TA,TA
314,None,TA,Gd,No,LwQ,Unf,SBrkr,Gd,Detchd,Unf,Fa,TA
315,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
316,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
317,None,Gd,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
318,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
319,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
320,Stone,Ex,Gd,Av,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
321,BrkFace,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
322,BrkFace,TA,TA,Gd,LwQ,ALQ,SBrkr,TA,Attchd,Fin,TA,TA
323,None,TA,TA,No,ALQ,Unf,SBrkr,,Attchd,Unf,Fa,TA
324,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
325,None,TA,TA,Av,BLQ,Unf,FuseF,,Detchd,Unf,TA,TA
326,None,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
327,BrkFace,TA,TA,No,Rec,Unf,SBrkr,,Attchd,RFn,TA,TA
328,None,TA,TA,No,Unf,Unf,FuseA,,Detchd,Unf,TA,TA
329,None,TA,TA,Mn,Unf,Unf,SBrkr,,Detchd,Unf,Fa,Fa
330,BrkFace,TA,TA,No,GLQ,Rec,SBrkr,,Detchd,Unf,TA,TA
331,None,TA,TA,No,Rec,Unf,SBrkr,,Attchd,RFn,TA,TA
332,BrkFace,Gd,TA,No,GLQ,,SBrkr,Gd,Attchd,RFn,TA,TA
333,Stone,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
334,None,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
335,None,TA,TA,Gd,ALQ,BLQ,SBrkr,Gd,Attchd,Fin,TA,TA
336,Stone,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
337,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
338,None,Gd,TA,Mn,ALQ,Unf,SBrkr,,Attchd,RFn,TA,TA
339,BrkFace,TA,Fa,No,Rec,Unf,FuseA,,Attchd,Unf,TA,TA
340,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,Fin,TA,TA
341,None,TA,Fa,No,Unf,Unf,SBrkr,,CarPort,Unf,TA,TA
342,BrkFace,,,,,,FuseA,,Detchd,Unf,TA,TA
343,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,Ex,Attchd,RFn,TA,TA
344,None,Gd,TA,No,Rec,BLQ,SBrkr,,Attchd,Unf,TA,TA
345,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
346,None,TA,TA,Mn,BLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
347,BrkFace,TA,TA,No,BLQ,Unf,FuseA,Gd,Attchd,Unf,TA,TA
348,Stone,Gd,TA,No,GLQ,Unf,SBrkr,,BuiltIn,RFn,TA,TA
349,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,Ex,Attchd,Fin,TA,TA
350,BrkFace,Ex,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
351,None,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
352,None,TA,Fa,Mn,LwQ,Rec,SBrkr,,Detchd,Unf,TA,Fa
353,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
354,None,TA,TA,No,LwQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
355,None,Gd,Gd,No,ALQ,BLQ,SBrkr,,Attchd,RFn,TA,TA
356,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
357,None,Gd,TA,No,ALQ,Unf,SBrkr,Po,Attchd,Fin,TA,TA
358,BrkFace,TA,TA,Av,BLQ,Rec,FuseF,,BuiltIn,Unf,TA,TA
359,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
360,None,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
361,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
362,BrkFace,,,,,,SBrkr,Ex,BuiltIn,RFn,TA,TA
363,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
364,BrkFace,Gd,TA,Mn,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
365,None,TA,Fa,No,Rec,Unf,FuseA,,Detchd,Unf,TA,Fa
366,BrkFace,Gd,TA,No,BLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
367,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,Basment,RFn,TA,TA
368,BrkFace,TA,TA,No,LwQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
369,None,TA,TA,No,ALQ,Rec,SBrkr,Gd,Detchd,Fin,TA,TA
370,None,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
371,None,,,,,,SBrkr,Gd,Detchd,Fin,TA,TA
372,None,Gd,TA,No,ALQ,LwQ,SBrkr,,Attchd,Unf,TA,TA
373,None,TA,TA,No,BLQ,LwQ,SBrkr,,Attchd,Unf,TA,TA
374,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
375,None,Fa,Po,Gd,BLQ,Unf,FuseA,,,,,
376,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
377,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
378,Stone,Ex,TA,Av,GLQ,Unf,SBrkr,Ex,Attchd,Fin,TA,TA
379,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
380,None,TA,TA,No,LwQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
381,None,Gd,Gd,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
382,None,Gd,TA,Av,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
383,None,Fa,Fa,No,Unf,Unf,FuseA,,Detchd,Unf,Fa,Fa
384,None,Gd,TA,Av,GLQ,Unf,SBrkr,Fa,Attchd,Fin,TA,TA
385,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
386,None,TA,TA,No,Unf,Unf,SBrkr,,,,,
387,BrkFace,TA,TA,Av,ALQ,Unf,SBrkr,Fa,Detchd,Unf,TA,TA
388,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
389,Stone,Ex,TA,Av,GLQ,Unf,SBrkr,Ex,BuiltIn,Fin,TA,TA
390,None,TA,Gd,No,Rec,BLQ,SBrkr,,Detchd,Unf,TA,TA
391,None,Ex,TA,No,ALQ,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
392,None,,,,,,SBrkr,,Attchd,RFn,TA,TA
393,None,TA,TA,No,Rec,Unf,FuseA,TA,,,,
394,None,TA,TA,No,Unf,Unf,FuseA,,Detchd,Unf,TA,TA
395,None,TA,TA,Av,BLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
396,None,TA,TA,Av,Rec,Unf,SBrkr,,Detchd,RFn,TA,TA
397,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
398,None,Fa,Po,No,Unf,Unf,Mix,,Detchd,Unf,Po,Po
399,Stone,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
400,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
401,None,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
402,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
403,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
404,None,Gd,TA,No,Unf,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
405,None,TA,TA,No,BLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
406,None,TA,TA,No,Unf,Unf,FuseA,,Detchd,Unf,TA,TA
407,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
408,BrkFace,Ex,Gd,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
409,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
410,None,TA,Fa,No,Unf,Unf,FuseA,,Attchd,Unf,TA,TA
411,None,TA,TA,Mn,Rec,Unf,SBrkr,,Attchd,Fin,TA,TA
412,Stone,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
413,None,TA,TA,No,Unf,Unf,FuseA,Gd,Detchd,Unf,TA,TA
414,None,Gd,TA,No,BLQ,GLQ,SBrkr,TA,Attchd,Unf,TA,TA
415,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
416,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
417,None,Gd,TA,No,BLQ,Unf,FuseA,Gd,Detchd,Unf,TA,TA
418,None,TA,TA,No,ALQ,Unf,FuseF,,Detchd,Unf,TA,TA
419,None,TA,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,Unf,TA,TA
420,BrkFace,Gd,Gd,Gd,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
421,Stone,Gd,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
422,None,TA,TA,No,Unf,Unf,FuseA,,Attchd,RFn,TA,TA
423,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
424,BrkFace,Gd,TA,No,LwQ,Unf,FuseA,Gd,Attchd,RFn,TA,TA
425,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
426,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
427,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
428,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
429,None,Gd,TA,Mn,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
430,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
431,None,TA,TA,No,Unf,Unf,SBrkr,,,,,
432,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
433,None,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
434,None,Gd,TA,Av,ALQ,Unf,SBrkr,,,,,
435,None,Gd,TA,Av,GLQ,ALQ,SBrkr,TA,Attchd,RFn,TA,TA
436,None,Fa,TA,No,Unf,Unf,FuseA,,Detchd,Unf,TA,TA
437,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
438,None,TA,TA,No,LwQ,Unf,SBrkr,Gd,Detchd,Unf,Gd,TA
439,None,TA,Fa,Mn,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
440,Stone,Ex,TA,Gd,GLQ,ALQ,SBrkr,Gd,Attchd,Fin,TA,TA
441,BrkFace,TA,TA,No,ALQ,Unf,FuseF,,,,,
442,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
443,BrkFace,Ex,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
444,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
445,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
446,None,TA,TA,No,ALQ,Rec,SBrkr,Gd,Attchd,Fin,TA,TA
447,None,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
448,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
449,None,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
450,None,TA,TA,No,Unf,Unf,FuseA,,Detchd,Unf,Fa,Fa
451,None,Gd,TA,Gd,ALQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
452,BrkFace,Ex,TA,No,ALQ,Unf,SBrkr,,Attchd,Fin,TA,TA
453,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
454,None,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
455,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
456,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,Fa,Fa
457,None,Gd,TA,Gd,BLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
458,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
459,BrkCmn,TA,TA,No,LwQ,Unf,SBrkr,TA,Detchd,Unf,TA,TA
460,Stone,Gd,TA,No,GLQ,Unf,SBrkr,,BuiltIn,Fin,TA,TA
461,None,Gd,Gd,No,ALQ,BLQ,SBrkr,,Detchd,RFn,TA,TA
462,None,TA,TA,No,Rec,BLQ,SBrkr,Po,Detchd,Unf,TA,TA
463,None,TA,TA,No,LwQ,Unf,FuseA,Gd,Detchd,Unf,TA,TA
464,BrkFace,Gd,TA,No,Rec,Unf,SBrkr,,,,,
465,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
466,None,TA,Gd,Gd,GLQ,Unf,SBrkr,Po,Attchd,Unf,TA,TA
467,Stone,TA,TA,No,LwQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
468,Stone,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
469,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
470,None,Gd,TA,Av,GLQ,BLQ,SBrkr,,Attchd,RFn,TA,TA
471,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
472,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,,Basment,RFn,TA,TA
473,BrkFace,Ex,TA,Gd,GLQ,Unf,SBrkr,Ex,Attchd,RFn,TA,TA
474,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
475,None,TA,TA,No,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
476,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
477,BrkFace,Gd,TA,Av,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
478,Stone,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
479,BrkCmn,Fa,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
480,BrkFace,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
481,BrkFace,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
482,None,TA,TA,No,ALQ,Unf,SBrkr,Gd,Attchd,Unf,Fa,Fa
483,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
484,None,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
485,None,TA,TA,No,ALQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
486,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,,Attchd,RFn,TA,TA
487,None,Gd,TA,Av,ALQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
488,None,TA,Fa,No,BLQ,Unf,FuseA,Gd,Attchd,Unf,TA,Fa
489,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
490,None,Gd,TA,Mn,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
491,None,TA,TA,No,BLQ,Rec,FuseA,TA,Attchd,Unf,TA,TA
492,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
493,None,TA,TA,No,BLQ,LwQ,FuseA,Fa,Detchd,Unf,TA,TA
494,None,Fa,TA,No,Unf,Unf,FuseA,,Attchd,Unf,TA,TA
495,None,TA,TA,No,Rec,Unf,FuseA,,,,,
496,None,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
497,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
498,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,,Attchd,Fin,TA,TA
499,None,TA,TA,No,BLQ,LwQ,SBrkr,,Attchd,Fin,TA,TA
500,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
501,None,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
502,None,TA,TA,No,ALQ,GLQ,SBrkr,,Detchd,Unf,Fa,Fa
503,None,TA,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
504,None,TA,TA,No,ALQ,Rec,SBrkr,Fa,Attchd,Unf,TA,TA
505,BrkFace,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
506,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
507,None,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
508,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
509,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,,Attchd,RFn,TA,TA
510,BrkCmn,TA,TA,No,BLQ,Rec,SBrkr,TA,CarPort,Unf,TA,TA
511,Stone,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
512,None,TA,TA,No,BLQ,LwQ,SBrkr,,Detchd,Unf,TA,TA
513,None,TA,TA,No,ALQ,Unf,SBrkr,,Attchd,Unf,TA,TA
514,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,Po,Po
515,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
516,BrkFace,TA,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
517,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,RFn,TA,TA
518,None,Gd,TA,Mn,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
519,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
520,None,,,,,,FuseA,,,,,
521,None,TA,TA,No,Rec,Unf,FuseA,Gd,Attchd,Unf,TA,TA
522,None,TA,TA,No,ALQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
523,Stone,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
524,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
525,None,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Unf,TA,TA
526,None,Gd,TA,No,Rec,Unf,SBrkr,,Attchd,Unf,TA,TA
527,Stone,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
528,None,TA,TA,Mn,ALQ,Unf,SBrkr,,,,,
529,,TA,TA,No,Rec,Unf,SBrkr,TA,Attchd,RFn,TA,TA
530,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,Fa,Attchd,RFn,TA,TA
531,None,Fa,Fa,Mn,Unf,Unf,SBrkr,,Detchd,Fin,TA,Fa
532,None,,,,,,SBrkr,Po,Detchd,Unf,TA,TA
533,None,,,,,,FuseF,,,,,
534,None,Ex,Gd,Av,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
535,None,Gd,TA,Gd,GLQ,Unf,SBrkr,,,,,
536,None,Gd,TA,Av,Unf,Unf,SBrkr,,Attchd,Fin,TA,TA
537,None,TA,TA,No,BLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
538,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,Unf,TA,TA
539,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
540,BrkFace,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
541,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
542,None,Ex,TA,No,LwQ,GLQ,SBrkr,TA,Attchd,Fin,TA,TA
543,BrkFace,Gd,TA,Av,GLQ,LwQ,SBrkr,,Attchd,Fin,TA,TA
544,None,Gd,Gd,Av,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
545,BrkFace,Gd,Gd,No,GLQ,LwQ,SBrkr,,Attchd,Unf,TA,TA
546,None,Gd,TA,No,Rec,Unf,FuseA,Gd,Detchd,Unf,TA,TA
547,None,Gd,TA,Av,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
548,None,TA,TA,No,LwQ,Rec,SBrkr,,Detchd,RFn,TA,TA
549,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
550,None,Gd,TA,No,ALQ,Unf,SBrkr,,Attchd,RFn,TA,TA
551,None,TA,TA,No,Rec,Unf,FuseA,,Attchd,Fin,TA,TA
552,Stone,Ex,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
553,None,,,,,,SBrkr,,Detchd,Fin,TA,TA
554,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Gd,BuiltIn,RFn,TA,TA
555,None,TA,Fa,No,Unf,Unf,FuseA,Gd,Detchd,Unf,TA,TA
556,None,TA,TA,No,Rec,Unf,FuseA,TA,Attchd,Fin,TA,TA
557,None,TA,TA,No,Rec,Unf,SBrkr,,CarPort,Unf,TA,TA
558,None,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
559,BrkFace,Gd,TA,Gd,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
560,BrkFace,Gd,TA,No,ALQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
561,None,Gd,TA,Av,ALQ,LwQ,SBrkr,TA,Attchd,RFn,TA,TA
562,None,TA,TA,No,BLQ,Unf,SBrkr,Gd,,,,
563,None,Gd,TA,Mn,Unf,Unf,SBrkr,Gd,Detchd,Fin,TA,TA
564,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
565,None,Gd,TA,No,Unf,Unf,FuseF,,Detchd,Unf,TA,TA
566,BrkFace,Gd,Gd,No,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
567,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
568,None,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,Gd,TA
569,None,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Detchd,Unf,TA,TA
570,BrkFace,TA,TA,No,LwQ,Unf,SBrkr,,Detchd,Unf,TA,TA
571,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
572,None,Ex,TA,Av,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
573,None,Gd,TA,No,Unf,Unf,SBrkr,TA,BuiltIn,RFn,TA,TA
574,BrkFace,TA,TA,Av,ALQ,Unf,SBrkr,,BuiltIn,Unf,TA,TA
575,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
576,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
577,BrkFace,TA,TA,Av,LwQ,ALQ,SBrkr,Fa,Attchd,RFn,TA,TA
578,None,Gd,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
579,BrkFace,TA,TA,No,Unf,Unf,FuseF,,Attchd,Unf,Fa,TA
580,BrkFace,TA,TA,No,BLQ,Rec,SBrkr,Gd,Attchd,Unf,TA,TA
581,BrkFace,Ex,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
582,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,,,,,
583,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,Gd,TA
584,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
585,BrkFace,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
586,None,TA,Gd,Mn,Rec,ALQ,SBrkr,,Detchd,Fin,TA,TA
587,None,TA,TA,Av,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
588,None,TA,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Unf,TA,TA
589,None,TA,TA,No,Unf,Unf,FuseA,,Detchd,Unf,TA,TA
590,None,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
591,Stone,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,BuiltIn,RFn,TA,TA
592,None,TA,Gd,No,GLQ,Unf,SBrkr,,Detchd,Fin,TA,TA
593,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
594,None,Gd,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
595,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
596,None,TA,TA,No,Unf,Unf,FuseA,,Detchd,Unf,TA,Fa
597,BrkFace,Ex,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
598,BrkFace,Gd,TA,Mn,ALQ,LwQ,SBrkr,TA,Attchd,Fin,TA,TA
599,None,Gd,TA,No,LwQ,GLQ,SBrkr,TA,Attchd,Fin,TA,TA
600,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
601,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
602,None,Gd,TA,Mn,GLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
603,None,Gd,TA,No,Unf,Unf,SBrkr,,Detchd,RFn,TA,TA
